,year_month,registered_12_trail,sim_12_trail,visitors_12_trail
0,2000-01-01,15,0,0.0
1,2000-02-01,19,0,0.0
2,2000-03-01,24,133,0.0
3,2000-04-01,26,199,0.0
4,2000-05-01,30,244,0.0
5,2000-06-01,34,263,0.0
6,2000-07-01,35,275,0.0
7,2000-08-01,66,293,0.0
8,2000-09-01,193,389,0.0
9,2000-10-01,279,443,0.0
10,2000-11-01,378,501,0.0
11,2000-12-01,464,554,0.0
12,2001-01-01,562,588,0.0
13,2001-02-01,845,797,0.0
14,2001-03-01,1007,920,0.0
15,2001-04-01,1066,927,0.0
16,2001-05-01,1129,860,0.0
17,2001-06-01,1149,846,0.0
18,2001-07-01,1176,844,0.0
19,2001-08-01,1164,832,0.0
20,2001-09-01,1067,833,0.0
21,2001-10-01,1008,841,0.0
22,2001-11-01,946,800,0.0
23,2001-12-01,906,762,0.0
24,2002-01-01,824,700,0.0
25,2002-02-01,586,678,0.0
26,2002-03-01,476,676,0.0
27,2002-04-01,437,660,0.0
28,2002-05-01,398,405,0.0
29,2002-06-01,408,428,0.0
30,2002-07-01,416,434,0.0
31,2002-08-01,431,443,0.0
32,2002-09-01,457,483,0.0
33,2002-10-01,492,524,0.0
34,2002-11-01,510,542,0.0
35,2002-12-01,483,519,0.0
36,2003-01-01,495,495,0.0
37,2003-02-01,507,516,0.0
38,2003-03-01,839,872,0.0
39,2003-04-01,864,891,0.0
40,2003-05-01,872,862,0.0
41,2003-06-01,902,853,0.0
42,2003-07-01,906,862,0.0
43,2003-08-01,914,866,0.0
44,2003-09-01,977,980,0.0
45,2003-10-01,975,1018,0.0
46,2003-11-01,967,1025,0.0
47,2003-12-01,991,1039,0.0
48,2004-01-01,988,990,0.0
49,2004-02-01,1019,995,0.0
50,2004-03-01,725,1018,0.0
51,2004-04-01,792,1076,0.0
52,2004-05-01,826,1020,0.0
53,2004-06-01,799,827,0.0
54,2004-07-01,846,903,0.0
55,2004-08-01,848,905,0.0
56,2004-09-01,852,1044,0.0
57,2004-10-01,858,1087,0.0
58,2004-11-01,877,1134,0.0
59,2004-12-01,893,1127,0.0
60,2005-01-01,1057,1054,0.0
61,2005-02-01,1263,1136,0.0
62,2005-03-01,1468,1199,0.0
63,2005-04-01,1636,1149,0.0
64,2005-05-01,1759,1117,0.0
65,2005-06-01,1883,1129,0.0
66,2005-07-01,1991,1113,0.0
67,2005-08-01,2121,1201,0.0
68,2005-09-01,2237,1310,0.0
69,2005-10-01,2398,1394,0.0
70,2005-11-01,2697,1558,0.0
71,2005-12-01,3046,1681,0.0
72,2006-01-01,3177,1679,0.0
73,2006-02-01,3454,1908,0.0
74,2006-03-01,3922,2165,0.0
75,2006-04-01,4355,2405,0.0
76,2006-05-01,4797,2545,0.0
77,2006-06-01,5066,2709,0.0
78,2006-07-01,5434,2969,0.0
79,2006-08-01,5709,3072,0.0
80,2006-09-01,6074,3406,0.0
81,2006-10-01,6313,3581,0.0
82,2006-11-01,6885,4080,0.0
83,2006-12-01,7114,4301,0.0
84,2007-01-01,7168,4363,23717
85,2007-02-01,7658,4912,34023
86,2007-03-01,7596,5267,43147
87,2007-04-01,7636,5488,54802
88,2007-05-01,7616,5572,65704
89,2007-06-01,7709,5711,78018
90,2007-07-01,7558,5697,89509
91,2007-08-01,7544,5794,99755
92,2007-09-01,7484,5851,114629
93,2007-10-01,7626,6031,129591
94,2007-11-01,7414,6034,143319
95,2007-12-01,7299,5959,148370
96,2008-01-01,7283,5956,153180
97,2008-02-01,7190,6320,157811
98,2008-03-01,7229,6364,163340
99,2008-04-01,7062,6332,168222
100,2008-05-01,7092,6314,175875
101,2008-06-01,7042,6292,182418
102,2008-07-01,7114,6338,194055
103,2008-08-01,7186,6383,204189
104,2008-09-01,7162,6410,211523
105,2008-10-01,7248,6531,219003
106,2008-11-01,7333,6866,226273
107,2008-12-01,7418,6808,233703
108,2009-01-01,7517,6875,241026
109,2009-02-01,7452,7284,249141
110,2009-03-01,7379,7072,256562
111,2009-04-01,7536,7216,261638
112,2009-05-01,7456,7065,270233
113,2009-06-01,7406,6956,280587
114,2009-07-01,7359,6919,283658
115,2009-08-01,7201,6835,286182
116,2009-09-01,7204,6958,292754
117,2009-10-01,7397,7350,297109
118,2009-11-01,7389,7536,305119
119,2009-12-01,7438,7414,310079
120,2010-01-01,7435,7420,311724
121,2010-02-01,7745,7997,311505
122,2010-03-01,7953,8352,311547
123,2010-04-01,8127,8230,310542
124,2010-05-01,8197,8154,306707
125,2010-06-01,8500,8380,305264
126,2010-07-01,8684,8521,309521
127,2010-08-01,8905,8662,311732
128,2010-09-01,8973,8886,312595
129,2010-10-01,9055,9396,313472
130,2010-11-01,9459,9898,316960
131,2010-12-01,9860,9923,317518
132,2011-01-01,9965,9811,323082
133,2011-02-01,9595,10026,332020
134,2011-03-01,10160,10716,337129
135,2011-04-01,10232,10544,345045
136,2011-05-01,10463,10538,357136
137,2011-06-01,10454,10479,370000
138,2011-07-01,10485,10517,382883
139,2011-08-01,10521,10510,390587
140,2011-09-01,10994,10703,397283
141,2011-10-01,11011,10983,403912
142,2011-11-01,11009,11349,408664
143,2011-12-01,10999,11157,418719
144,2012-01-01,11125,10900,424055
145,2012-02-01,12181,11660,424325
146,2012-03-01,11913,11890,431723
147,2012-04-01,12055,11965,436363
148,2012-05-01,11970,11794,442830
149,2012-06-01,12079,11771,451251
150,2012-07-01,12221,11798,455180
151,2012-08-01,12387,11969,461907
152,2012-09-01,12214,12077,472656
153,2012-10-01,12468,12540,490300
154,2012-11-01,12364,12507,502475
155,2012-12-01,12439,12336,516031
156,2013-01-01,12444,12123,529954
157,2013-02-01,11828,12329,538881
158,2013-03-01,13287,12799,542840
159,2013-04-01,13399,12778,551644
160,2013-05-01,13844,12548,558483
161,2013-06-01,13969,12450,567948
162,2013-07-01,14029,12448,577469
163,2013-08-01,14206,12418,583734
164,2013-09-01,14415,12714,595109
165,2013-10-01,14900,13410,605278
166,2013-11-01,15083,13517,602347
167,2013-12-01,15380,13547,598906
168,2014-01-01,15552,13115,604745
169,2014-02-01,15567,13403,611462
170,2014-03-01,15687,13510,620975
171,2014-04-01,15763,13488,632724
172,2014-05-01,15743,13128,660355
173,2014-06-01,15676,12841,679124
174,2014-07-01,15646,12677,700091
175,2014-08-01,15563,12393,720302
176,2014-09-01,15517,12317,737504
177,2014-10-01,15868,12583,738687
178,2014-11-01,15882,12638,761721
179,2014-12-01,15765,12304,819288
180,2015-01-01,15890,12112,858074
181,2015-02-01,17430,12487,892847
182,2015-03-01,16300,12373,917591
183,2015-04-01,16488,12632,940569
184,2015-05-01,16369,12244,968375
185,2015-06-01,16442,12028,1001234
186,2015-07-01,16607,11968,1050135
187,2015-08-01,16644,12137,1080523
188,2015-09-01,16686,12447,1104436
189,2015-10-01,16398,13191,1141807
190,2015-11-01,16495,13474,1185863
191,2015-12-01,16711,13289,1194387
192,2016-01-01,16787,13050,1203612
193,2016-02-01,15201,13110,1213084
194,2016-03-01,15050,13088,1219450
195,2016-04-01,15149,13165,1232084
196,2016-05-01,15509,13199,1248154
197,2016-06-01,15535,13246,1268268
198,2016-07-01,15507,13486,1321853
199,2016-08-01,15859,13740,1368119
200,2016-09-01,16294,14223,1382283
201,2016-10-01,16847,14901,1396960
202,2016-11-01,17791,15148,1400990
203,2016-12-01,18441,15548,1405917
204,2017-01-01,18824,15335,1411859
205,2017-02-01,18976,15566,1414455
206,2017-03-01,19337,16009,1421680
207,2017-04-01,19873,16151,1432152
208,2017-05-01,19994,15843,1434921
209,2017-06-01,20378,15863,1437843
210,2017-07-01,20693,15901,1389926
211,2017-08-01,20798,15966,1348730
212,2017-09-01,21278,16524,1360189
213,2017-10-01,21251,16897,1379353
214,2017-11-01,21115,16930,1392345
215,2017-12-01,20940,16635,1391491
216,2018-01-01,20941,16194,1399177
217,2018-02-01,21222,16442,1403208
218,2018-03-01,21662,16382,1409706
219,2018-04-01,21511,16130,1417105
220,2018-05-01,22084,16135,1426761
221,2018-06-01,22270,16097,1437225
222,2018-07-01,22336,15984,1445608
223,2018-08-01,22947,16393,1453682
224,2018-09-01,22789,16691,1457541
225,2018-10-01,22638,16825,1444161
226,2018-11-01,23139,17363,1434046
227,2018-12-01,23139,17084,1439851
228,2019-01-01,23444,16766,1441659
229,2019-02-01,23782,17023,1441412
230,2019-03-01,23768,17204,1452875
231,2019-04-01,24061,17479,1463966
232,2019-05-01,24300,17453,1480975
233,2019-06-01,24604,17370,1487253
234,2019-07-01,24641,17350,1490924
235,2019-08-01,24713,17121,1496080
236,2019-09-01,24930,17110,1498455
237,2019-10-01,26570,17290,1502904
238,2019-11-01,25957,17463,1510761
239,2019-12-01,25623,17268,1519821
240,2020-01-01,25100,16603,1515996
241,2020-02-01,25025,16865,1508912
242,2020-03-01,24489,16812,1518716
243,2020-04-01,24610,17221,1625678
244,2020-05-01,25440,17777,1655053
245,2020-06-01,26232,18112,1661235
246,2020-07-01,27699,18808,1689647
247,2020-08-01,27582,18884,1643090
248,2020-09-01,27715,19540,1874508
249,2020-10-01,26617,20193,1898459
250,2020-11-01,27742,21071,1899399
251,2020-12-01,28984,21684,1916142
252,2021-01-01,29915,21889,1950187
253,2021-02-01,30441,22747,1993458
